Tanggal	Tn	Tx	Tavg	RH_avg	RR	ss	ff_x	ddd_x	ff_avg	ddd_car
29-04-2023	21.4	28	23.2	89	9.6	5.4	7	50	2	C 
30-04-2023	20	29.4	24.1	82	10.9	2.1	6	80	2	E 
01-05-2023	20.2	28.8	24.7	81	0	6	5	50	2	C 
02-05-2023	20.4	29	24.5	83	0.2	6.5	6	60	3	NE
03-05-2023	21.4	30.2	25.2	78	0	6.8	7	60	2	C 
04-05-2023	22	29.6	25.5	80	0	0	6	30	3	E 
05-05-2023	20.7	31	25.2	78	29.5	7.1	4	90	2	E 
06-05-2023	21.3	30	25.7	81	0	8.2	4	160	1	C 
07-05-2023	21.8	29.2	24.8	86	49.6	5.7	3	170	1	C 
08-05-2023	19.6	30	24.7	70	2.7	5	5	100	2	E 
09-05-2023	21.1	28.2	25.3	82	0	9	5	50	2	C 
10-05-2023	20.7	28.4	24.3	85	5.6	1.2	5	70	2	E 
11-05-2023	20.9	28.2	24	86	4.1	1	6	60	2	C 
12-05-2023	21.6	29.7	25.7	83	1.8	2.2	4	160	2	C 
13-05-2023	21.2	27.2	23.9	78	12.6	6.6	5	180	2	S 
14-05-2023	18.3	26.8	24.3	68	0	4.7	5	200	2	S 
15-05-2023	19.2	27.9	23.6	71	0	7	4	200	2	C 
16-05-2023	18.1	27.8	22.6	75	0	7.8	5	230	2	S 
17-05-2023	18	28.6	23.3	65	0		4	200	2	C 
18-05-2023	17.8	29	23.1	70	0	9.8	3	190	1	C 
19-05-2023	18.6	29.3	23.5	71	0	8.2	4	180	1	C 
20-05-2023	18.4	30	25.8	68	0	6.6	3	230	2	C 
21-05-2023	17.7	30.1	25.7	68	0	8.4	5	170	2	S 
22-05-2023	18.7	29.7	24.9	67	0	8.7	3	240	1	C 
23-05-2023	18.5	29.3	25.5	68	0	9	5	90	2	E 
24-05-2023	19	29.3	26	70	0	6.8	5	50	2	NE
25-05-2023	18.8	29.4	25.8	67	0	8.5	4	200	2	S 
26-05-2023	18.2	30.1	25.4	68	0	9.6	4	80	2	C 
27-05-2023	18.8	29.2	24.8	61	0	8.2	6	200	3	S 
28-05-2023	19	28.8	25.1	64	0	9.3	5	90	2	C 
